window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0006451827314091732,1.2474181812080416,0.0,5,5,408,754449,0.0005407920217271148
2,0.006693073614025022,3.400671477125436,0.012,5,5,391,207382,0.0018854095340964981
3,0.0083409508476884,4.365829937482225,0.012,5,5,407,207430,0.0019621076989827894
4,0.004550724749350041,4.634260245277586,0.016,5,5,471,482650,0.0009758624261887496
5,0.011813225583586913,10.956835187796196,0.04,5,5,531,482089,0.0011014563700893403
6,0.01009501923680543,10.082097689640454,0.008,5,5,497,482751,0.001029516251649401
7,0.015570669867610487,14.055012316491116,0.02,5,5,539,482773,0.0011164667452405169
8,0.005244481078969888,6.819991130509794,0.02,5,5,514,654467,0.0007853719133279447
9,0.018632886822052223,8.780218862873898,0.012,5,5,442,208325,0.002121684867394696
