window,transactions,positives,prevalence,positive_clients
0,488290,465,0.0009523029347314096,5
1,500392,316,0.0006315049001582759,5
2,507500,436,0.0008591133004926108,5
3,491199,422,0.0008591222702000615,5
4,499635,419,0.0008386121868964344,5
5,497287,448,0.0009008882194788925,5
6,505940,402,0.0007945606198363442,5
7,547145,603,0.00110208445658829,5
8,526651,460,0.0008734437037051102,5
9,495371,600,0.0012112134137848198,5
10,505176,467,0.0009244302975596624,5
11,515284,631,0.0012245674230133285,5
12,498198,615,0.0012344489540303252,5
13,506044,458,0.0009050596390827676,5
14,500435,708,0.0014147691508387703,5
15,514288,558,0.0010849951777992099,5
16,500681,688,0.0013741284370687125,5
17,491883,516,0.0010490299522447411,5
18,413453,661,0.0015987306900663437,5
