client,typology,onset,stagger,horizon_windows,positives,captured,capture_rate
2,2,5,1.0,1,22,2,0.09090909090909091
2,2,5,1.0,3,64,2,0.03125
2,2,5,1.0,-1,102,3,0.029411764705882353
3,2,7,2.0,1,23,0,0.0
3,2,7,2.0,3,75,1,0.013333333333333334
3,2,7,2.0,-1,75,1,0.013333333333333334
