typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.33837298
1,1334,0,0.0,0.31001544
2,345,32,0.0927536231884058,0.37882143
3,1870,1,0.0005347593582887701,0.35668787
4,394,7,0.017766497461928935,0.37936506
5,656,0,0.0,0.35194033
6,529,0,0.0,0.37323567
7,338,2,0.005917159763313609,0.34600648
8,382,0,0.0,0.3443825
9,364,0,0.0,0.37079787
10,506,0,0.0,0.36828792
11,54,3,0.05555555555555555,0.3217912
12,945,0,0.0,0.3600745
13,250,2,0.008,0.349196
14,383,2,0.005221932114882507,0.35233352
15,354,0,0.0,0.3609559
16,237,0,0.0,0.37588245
