window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0021352709358827427,11.84318213786847,0.0,5,5,382,754423,0.000506347234906677
2,0.011002504481677944,11.478944622242306,0.012,5,5,334,207325,0.0016109972265766308
3,0.020056980178108925,12.197241826190423,0.016,5,5,359,207382,0.0017311049174952504
4,0.01744266436920718,17.540684954829494,0.028000000000000004,5,5,403,482582,0.0008350912383802131
5,0.04607349753785881,35.56829176849138,0.16,5,5,555,482113,0.001151182399147088
6,0.025686209153427165,22.18896407117602,0.076,5,5,525,482779,0.0010874540939021789
7,0.04371952145135131,31.531134262631667,0.152,5,5,596,482830,0.00123438891535323
8,0.026651657793723627,26.364882962797406,0.11600000000000002,5,5,564,654517,0.0008617041268599593
9,0.06390222182278964,25.312759320384025,0.11200000000000002,5,5,500,208383,0.0023994279763704333
