window,client,budget,precision,recall
7,4,10,0.4,0.02247191011235955
7,4,25,0.48,0.06741573033707865
7,4,50,0.38,0.10674157303370786
7,4,100,0.26,0.14606741573033707
7,4,200,0.165,0.1853932584269663
8,0,10,0.3,0.018292682926829267
8,0,25,0.36,0.054878048780487805
8,0,50,0.28,0.08536585365853659
8,0,100,0.2,0.12195121951219512
8,0,200,0.125,0.1524390243902439
8,1,10,0.0,0.0
8,1,25,0.04,0.014084507042253521
8,1,50,0.02,0.014084507042253521
8,1,100,0.01,0.014084507042253521
8,1,200,0.015,0.04225352112676056
8,2,10,0.0,0.0
8,2,25,0.0,0.0
8,2,50,0.0,0.0
8,2,100,0.01,0.010309278350515464
8,2,200,0.01,0.020618556701030927
8,3,10,0.0,0.0
8,3,25,0.0,0.0
8,3,50,0.0,0.0
8,3,100,0.02,0.02531645569620253
8,3,200,0.02,0.05063291139240506
8,4,10,0.3,0.0196078431372549
8,4,25,0.32,0.05228758169934641
8,4,50,0.28,0.0915032679738562
8,4,100,0.19,0.12418300653594772
8,4,200,0.115,0.1503267973856209
9,0,10,0.3,0.023076923076923078
9,0,25,0.36,0.06923076923076923
9,0,50,0.2,0.07692307692307693
9,0,100,0.18,0.13846153846153847
9,0,200,0.125,0.19230769230769232
9,1,10,0.1,0.014925373134328358
9,1,25,0.04,0.014925373134328358
9,1,50,0.02,0.014925373134328358
9,1,100,0.02,0.029850746268656716
9,1,200,0.01,0.029850746268656716
9,2,10,0.0,0.0
9,2,25,0.04,0.009345794392523364
9,2,50,0.02,0.009345794392523364
9,2,100,0.02,0.018691588785046728
9,2,200,0.02,0.037383177570093455
9,3,10,0.0,0.0
9,3,25,0.0,0.0
9,3,50,0.0,0.0
9,3,100,0.01,0.012345679012345678
9,3,200,0.01,0.024691358024691357
9,4,10,0.8,0.06956521739130435
9,4,25,0.56,0.12173913043478261
9,4,50,0.32,0.1391304347826087
9,4,100,0.2,0.17391304347826086
9,4,200,0.115,0.2
