window,transactions,positives,prevalence,positive_clients
0,1114903,304,0.0002726694609306819,5
1,754423,382,0.000506347234906677,5
2,207325,334,0.0016109972265766308,5
3,207382,359,0.0017311049174952504,5
4,482582,403,0.0008350912383802131,5
5,482113,555,0.001151182399147088,5
6,482779,525,0.0010874540939021789,5
7,482830,596,0.00123438891535323,5
8,654517,564,0.0008617041268599593,5
9,208383,500,0.0023994279763704333,5
