window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0006058108525348065,1.266112350219806,0.0,5,5,389,754430,0.000515621064909932
2,0.004977142693117036,2.643873030947243,0.004,5,5,362,207353,0.0017458151075701823
3,0.007193804417045753,4.072288280922923,0.012,5,5,369,207392,0.0017792393149205369
4,0.002577038417638063,2.9030754376819194,0.008,5,5,436,482615,0.0009034116221004321
5,0.00975888006319681,9.042218215838265,0.028000000000000004,5,5,542,482100,0.0011242480813109313
6,0.009632085818438444,9.628529133150119,0.028000000000000004,5,5,517,482771,0.0010709011104643818
7,0.015895235686295257,13.763460355997756,0.02,5,5,577,482811,0.0011950846190331207
8,0.006515591952508984,8.252081634988096,0.004,5,5,547,654500,0.0008357524828113064
9,0.02198091807907166,9.652621073569247,0.012,5,5,475,208358,0.002279730079958533
