typ,positives,captured,capture_rate,mean_score
0,260,0,0.0,0.34825256
1,229,2,0.008733624454148471,0.3230137
2,421,2,0.004750593824228029,0.30919352
3,444,0,0.0,0.30465794
4,207,0,0.0,0.3334002
5,137,0,0.0,0.32226926
6,216,0,0.0,0.36652282
7,397,2,0.005037783375314861,0.32845604
8,2211,23,0.010402532790592492,0.36287698
