typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.35992107
1,1334,2,0.0014992503748125937,0.35037345
2,345,12,0.034782608695652174,0.37759018
3,1870,2,0.0010695187165775401,0.35432693
4,394,9,0.02284263959390863,0.3743158
5,656,0,0.0,0.34817234
6,529,0,0.0,0.37113804
7,338,0,0.0,0.33930054
8,382,0,0.0,0.33658826
9,364,1,0.0027472527472527475,0.36427906
10,506,0,0.0,0.36212555
11,54,0,0.0,0.3067301
12,945,1,0.0010582010582010583,0.36889175
13,250,1,0.004,0.34554926
14,383,0,0.0,0.34475106
15,354,0,0.0,0.3612942
16,237,0,0.0,0.36575037
