window,transactions,positives,prevalence,positive_clients
0,1114911,312,0.0002798429650438466,5
1,754438,397,0.0005262195170444755,5
2,207345,354,0.0017072994284887506,5
3,207393,370,0.0017840524993611164,5
4,482612,433,0.0008972010642089298,5
5,482100,542,0.0011242480813109313,5
6,482759,505,0.001046070606658809,5
7,482810,576,0.0011930158861664009,5
8,654511,558,0.000852544877015054,5
9,208358,475,0.002279730079958533,5
