client,typology,onset,stagger,horizon_windows,positives,captured,capture_rate
2,2,5,1.0,1,13,0,0.0
2,2,5,1.0,3,47,0,0.0
2,2,5,1.0,-1,84,0,0.0
1,2,7,2.0,1,23,0,0.0
1,2,7,2.0,3,83,0,0.0
1,2,7,2.0,-1,83,0,0.0
