client,auprc,ap_lift,positives,transactions,prevalence
0,0.0011814611884512654,1.15125396300914,1869,1821214,0.001026238541983534
1,0.0010529415158402264,1.0783348257000662,1759,1801421,0.0009764513681143941
2,0.0011460778104425162,1.0946806752564944,1891,1806196,0.0010469517150962576
3,0.0013163028006018323,1.1808044319393773,1987,1782461,0.0011147508977756035
4,0.0011111236009831464,1.1014761681137644,1821,1805189,0.0010087586396770644
