typ,positives,captured,capture_rate,mean_score
0,932,3,0.003218884120171674,0.37359
1,1334,0,0.0,0.36190447
2,345,9,0.02608695652173913,0.39081275
3,1870,0,0.0,0.36069435
4,394,5,0.012690355329949238,0.39072806
5,656,0,0.0,0.35087624
6,529,0,0.0,0.37407595
7,338,0,0.0,0.34574097
8,382,0,0.0,0.34602764
9,364,1,0.0027472527472527475,0.37007907
10,506,0,0.0,0.36663705
11,54,3,0.05555555555555555,0.3413037
12,945,2,0.0021164021164021165,0.37833905
13,250,1,0.004,0.35249454
14,383,0,0.0,0.35439816
15,354,0,0.0,0.36846316
16,237,0,0.0,0.3723437
