window,transactions,positives,prevalence,positive_clients
0,488311,486,0.0009952673603502685,5
1,500411,335,0.0006694497123364595,5
2,507507,443,0.0008728943640186244,5
3,491188,411,0.000836746826062526,5
4,499622,406,0.0008126143364383474,5
5,497288,449,0.0009028973150367594,5
6,505965,427,0.00084393189252221,5
7,547152,610,0.0011148638769482703,5
8,526661,470,0.0008924146652210815,5
9,495338,567,0.0011446729304030784,5
10,505173,464,0.0009184972276823979,5
11,515269,616,0.0011954920633688423,5
12,498188,605,0.0012144009891848057,5
13,506033,447,0.000883341600251367,5
14,500426,699,0.0013968099179499068,5
15,514287,557,0.0010830528479234358,5
16,500678,685,0.001368144795657089,5
17,491887,520,0.001057153370591213,5
18,413468,676,0.0016349511933208857,5
