client,typology,onset,stagger,horizon_windows,positives,captured,capture_rate
1,1,9,1.0,1,47,0,0.0
1,1,9,1.0,3,87,0,0.0
1,1,9,1.0,-1,285,3,0.010526315789473684
0,1,12,2.0,1,47,0,0.0
0,1,12,2.0,3,113,0,0.0
0,1,12,2.0,-1,277,0,0.0
