typ,positives,captured,capture_rate,mean_score
0,932,7,0.0075107296137339056,0.38467503
1,1334,61,0.04572713643178411,0.36638308
2,345,21,0.06086956521739131,0.38518775
3,1870,0,0.0,0.37591463
4,394,21,0.0532994923857868,0.38740307
5,656,1,0.001524390243902439,0.35536206
6,529,0,0.0,0.37296766
7,338,1,0.0029585798816568047,0.356111
8,382,0,0.0,0.35306948
9,364,0,0.0,0.37122548
10,506,0,0.0,0.37940452
11,54,0,0.0,0.33650762
12,945,9,0.009523809523809525,0.38641092
13,250,3,0.012,0.35581058
14,383,0,0.0,0.34804466
15,354,0,0.0,0.38171026
16,237,0,0.0,0.39205936
