typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.37179852
1,1334,0,0.0,0.3334635
2,345,84,0.24347826086956523,0.40178722
3,1870,2,0.0010695187165775401,0.36857188
4,394,64,0.16243654822335024,0.3901385
5,656,0,0.0,0.3635257
6,529,2,0.003780718336483932,0.38432115
7,338,0,0.0,0.35414803
8,382,0,0.0,0.34642532
9,364,0,0.0,0.37874666
10,506,0,0.0,0.38629505
11,54,0,0.0,0.31858638
12,945,16,0.016931216931216932,0.3850216
13,250,0,0.0,0.35797036
14,383,0,0.0,0.35376236
15,354,0,0.0,0.38300294
16,237,0,0.0,0.39134848
