typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.35904637
1,1334,4,0.0029985007496251873,0.30746746
2,345,12,0.034782608695652174,0.36870518
3,1870,0,0.0,0.35812947
4,394,12,0.030456852791878174,0.37495205
5,656,0,0.0,0.34731188
6,529,2,0.003780718336483932,0.3692584
7,338,0,0.0,0.3378154
8,382,1,0.002617801047120419,0.34203735
9,364,1,0.0027472527472527475,0.36601135
10,506,0,0.0,0.36911064
11,54,2,0.037037037037037035,0.32431734
12,945,3,0.0031746031746031746,0.3703366
13,250,0,0.0,0.34636495
14,383,0,0.0,0.34550536
15,354,0,0.0,0.3677911
16,237,3,0.012658227848101266,0.37507722
