client,typology,onset,stagger,horizon_windows,positives,captured,capture_rate
1,1,9,1.0,1,23,0,0.0
1,1,9,1.0,3,74,0,0.0
1,1,9,1.0,-1,323,0,0.0
4,1,12,2.0,1,64,0,0.0
4,1,12,2.0,3,154,0,0.0
4,1,12,2.0,-1,314,0,0.0
