client,0,1,2,3,4,5,6,7,8
0,51,50,79,68,42,24,50,81,593
1,66,51,103,111,40,36,38,83,554
2,47,37,74,53,40,27,36,76,290
3,49,49,87,116,47,18,47,82,359
4,47,42,78,96,38,32,45,75,415
