typ,positives,captured,capture_rate,mean_score
0,932,2,0.002145922746781116,0.37466305
1,1334,15,0.011244377811094454,0.36980054
2,345,22,0.06376811594202898,0.37298548
3,1870,0,0.0,0.3632676
4,394,5,0.012690355329949238,0.38032466
5,656,0,0.0,0.34816158
6,529,0,0.0,0.36163747
7,338,0,0.0,0.34727737
8,382,0,0.0,0.34529945
9,364,0,0.0,0.3647924
10,506,0,0.0,0.3630218
11,54,2,0.037037037037037035,0.32841295
12,945,5,0.005291005291005291,0.3752329
13,250,2,0.008,0.34656227
14,383,0,0.0,0.34576714
15,354,0,0.0,0.36669776
16,237,0,0.0,0.37437448
