client,typology,onset,stagger,horizon_windows,positives,captured,capture_rate
4,2,5,1.0,1,16,1,0.0625
4,2,5,1.0,3,37,1,0.02702702702702703
4,2,5,1.0,-1,56,1,0.017857142857142856
1,2,7,2.0,1,6,0,0.0
1,2,7,2.0,3,19,1,0.05263157894736842
1,2,7,2.0,-1,19,1,0.05263157894736842
