typ,positives,captured,capture_rate,mean_score
0,260,0,0.0,0.33239368
1,229,0,0.0,0.3089134
2,421,0,0.0,0.3041507
3,444,0,0.0,0.29139185
4,207,2,0.00966183574879227,0.32609662
5,137,0,0.0,0.30895677
6,216,0,0.0,0.35666028
7,397,2,0.005037783375314861,0.31752822
8,2211,22,0.009950248756218905,0.3566876
