client,typology,onset,stagger,horizon_windows,positives,captured,capture_rate
3,2,5,1.0,1,20,0,0.0
3,2,5,1.0,3,52,0,0.0
3,2,5,1.0,-1,87,0,0.0
0,2,7,2.0,1,22,0,0.0
0,2,7,2.0,3,79,0,0.0
0,2,7,2.0,-1,79,0,0.0
