client,typology,onset,stagger,horizon_windows,positives,captured,capture_rate
3,2,5,1.0,1,27,0,0.0
3,2,5,1.0,3,80,0,0.0
3,2,5,1.0,-1,121,0,0.0
1,2,7,2.0,1,22,0,0.0
1,2,7,2.0,3,61,0,0.0
1,2,7,2.0,-1,61,0,0.0
