window,transactions,positives,prevalence,positive_clients
0,1114907,308,0.0002762562258556095,5
1,754428,387,0.0005129714167554757,5
2,207346,355,0.001712114050910073,5
3,207404,381,0.0018369944649090663,5
4,482606,427,0.0008847797167876073,5
5,482096,538,0.001115960306660914,5
6,482775,521,0.0010791776707575994,5
7,482817,583,0.0012074968362754419,5
8,654502,549,0.0008388056873775787,5
9,208356,473,0.0022701530073528,5
