typ,positives,captured,capture_rate,mean_score
0,932,2,0.002145922746781116,0.45989466
1,1334,21,0.015742128935532233,0.47769448
2,345,2,0.005797101449275362,0.48693946
3,1870,10,0.0053475935828877,0.4899646
4,394,0,0.0,0.49317956
5,656,5,0.007621951219512195,0.46214545
6,529,2,0.003780718336483932,0.4896508
7,338,3,0.008875739644970414,0.46196732
8,382,0,0.0,0.46933746
9,364,2,0.005494505494505495,0.48225
10,506,0,0.0,0.4893662
11,54,6,0.1111111111111111,0.42752722
12,945,13,0.013756613756613757,0.48860228
13,250,13,0.052,0.46751297
14,383,1,0.0026109660574412533,0.48191944
15,354,1,0.002824858757062147,0.45875162
16,237,7,0.029535864978902954,0.48125833
