window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.000646941792210344,1.285604795170697,0.0,5,5,408,754449,0.0005407920217271148
2,0.005112316607283668,2.554564873050344,0.004,5,5,391,207382,0.0018854095340964981
3,0.007283598148317745,3.8384747831721233,0.012,5,5,407,207430,0.0019621076989827894
4,0.0025218367007268845,2.638164890033094,0.008,5,5,471,482650,0.0009758624261887496
5,0.009494526386798385,8.720471783900162,0.024,5,5,531,482089,0.0011014563700893403
6,0.009417888275375468,9.547337437240618,0.028000000000000004,5,5,497,482751,0.001029516251649401
7,0.014764621731547915,13.588427307648004,0.016,5,5,539,482773,0.0011164667452405169
8,0.005703456213664693,7.655710873737776,0.0,5,5,514,654467,0.0007853719133279447
9,0.020307889517567363,9.532188796434031,0.016,5,5,442,208325,0.002121684867394696
