typ,positives,captured,capture_rate,mean_score
0,260,0,0.0,0.3507343
1,229,2,0.008733624454148471,0.32438388
2,421,2,0.004750593824228029,0.32085
3,444,0,0.0,0.3188823
4,207,0,0.0,0.33423772
5,137,0,0.0,0.3233807
6,216,0,0.0,0.36692464
7,397,2,0.005037783375314861,0.33018017
8,2211,22,0.009950248756218905,0.36310998
