typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.34667882
1,1334,0,0.0,0.33209443
2,345,35,0.10144927536231885,0.34667373
3,1870,1,0.0005347593582887701,0.35523477
4,394,56,0.14213197969543148,0.35832354
5,656,0,0.0,0.35123459
6,529,2,0.003780718336483932,0.3616118
7,338,0,0.0,0.33766532
8,382,1,0.002617801047120419,0.33816177
9,364,2,0.005494505494505495,0.367511
10,506,0,0.0,0.366766
11,54,1,0.018518518518518517,0.3247416
12,945,3,0.0031746031746031746,0.35865423
13,250,0,0.0,0.3433458
14,383,1,0.0026109660574412533,0.35015565
15,354,0,0.0,0.36953166
16,237,0,0.0,0.36085838
