client,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,135,245,90,366,77,131,132,65,70,72,123,10,224,44,66,80,28
1,258,321,57,377,76,122,104,74,75,67,75,13,207,58,62,72,39
2,216,375,43,383,82,145,122,80,90,84,134,8,173,51,54,64,63
3,156,143,75,342,80,132,78,69,70,61,69,9,204,54,117,71,62
4,167,250,80,402,79,126,93,50,77,80,105,14,137,43,84,67,45
