window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0006159760456052796,1.2105600027946535,0.0,5,5,384,754425,0.000508996918182722
2,0.010460534013241516,5.984889688434846,0.02,5,5,365,207356,0.001760257721020853
3,0.014405173411516873,7.85972375504943,0.016,5,5,378,207401,0.0018225563039715334
4,0.0059867784618080075,6.539412264664421,0.012,5,5,448,482627,0.0009282530815723115
5,0.012677358038622789,11.677583610515573,0.028000000000000004,5,5,532,482090,0.0011035283868157397
6,0.011884150108086237,11.908230632178313,0.024,5,5,501,482755,0.0010377934977369473
7,0.021045751886952516,17.606791461201258,0.024,5,5,575,482809,0.0011909471447301106
8,0.0062316379881094276,7.757255539242825,0.02,5,5,550,654503,0.0008403322826633339
9,0.02289173154984856,9.757955765007486,0.024,5,5,481,208364,0.002308460194659346
