client,typology,onset,stagger,horizon_windows,positives,captured,capture_rate
0,2,5,1.0,1,19,0,0.0
0,2,5,1.0,3,54,0,0.0
0,2,5,1.0,-1,105,0,0.0
2,2,7,2.0,1,22,0,0.0
2,2,7,2.0,3,78,0,0.0
2,2,7,2.0,-1,78,0,0.0
