client,auprc,ap_lift,positives,transactions,prevalence
0,0.0011586074891958048,1.1192969746463366,804,776721,0.0010351207190226607
1,0.0021723543940126303,1.7965411405326543,1071,885719,0.001209187112391176
2,0.001595397560546853,1.6039436929849509,712,715814,0.0009946718002162573
3,0.0010492652263452298,1.0520839465548204,778,780090,0.000997320821956441
4,0.0012083018146368996,1.1634021874458174,835,803972,0.0010385933838491887
