client,typology,onset,stagger,horizon_windows,positives,captured,capture_rate
4,1,9,1.0,1,41,0,0.0
4,1,9,1.0,3,90,0,0.0
4,1,9,1.0,-1,287,0,0.0
0,1,12,2.0,1,31,0,0.0
0,1,12,2.0,3,115,0,0.0
0,1,12,2.0,-1,267,0,0.0
