client,auprc,ap_lift,positives,transactions,prevalence
0,0.0011557474751428048,1.15457906887823,1826,1824154,0.0010010119759625558
1,0.0012139674114188832,1.118986056935857,1963,1809414,0.0010848816246585911
2,0.0012447502195793232,1.1672147479835346,1907,1788213,0.0010664277689514615
3,0.0013211965662926436,1.2986552317727158,1827,1795829,0.0010173574432755011
4,0.0010989475953971182,1.095823148492023,1804,1798871,0.001002851232801018
