typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.36414933
1,1334,5,0.0037481259370314842,0.35954627
2,345,10,0.028985507246376812,0.3720431
3,1870,2,0.0010695187165775401,0.3630718
4,394,13,0.03299492385786802,0.3780977
5,656,0,0.0,0.3512591
6,529,0,0.0,0.36482787
7,338,1,0.0029585798816568047,0.34087878
8,382,0,0.0,0.3398396
9,364,1,0.0027472527472527475,0.36466753
10,506,0,0.0,0.3661163
11,54,0,0.0,0.30947036
12,945,1,0.0010582010582010583,0.37082693
13,250,1,0.004,0.3417627
14,383,0,0.0,0.3466266
15,354,0,0.0,0.36941257
16,237,0,0.0,0.3782576
