condition,reference,comparison,metric,seed,difference
drift,fedtypo,fedproto,auprc,45,0.0038268995886821
drift,fedtypo,fedproto,auprc,46,0.0016288874217662602
drift,fedtypo,fedproto,auprc,47,0.00339699110853494
drift,fedtypo,fedproto,auprc,48,0.00319630929430956
drift,fedtypo,fedproto,auprc,49,0.0025510717473435406
drift,fedtypo,fedproto,auprc,50,0.0020408921903846402
drift,fedtypo,fedproto,auprc,51,0.00150857256861554
drift,fedtypo,fedtypo_noreg,auprc,42,0.0021661622005148
drift,fedtypo,fedtypo_noreg,auprc,43,0.00229607057719946
drift,fedtypo,fedtypo_noreg,auprc,44,0.0017245178180166597
drift,fedtypo,fedtypo_noreg,auprc,45,0.00375947817021394
drift,fedtypo,fedtypo_noreg,auprc,46,0.0016065019142262001
drift,fedtypo,fedtypo_noreg,auprc,47,0.00335450874343818
drift,fedtypo,fedtypo_noreg,auprc,48,0.0031342874129319
drift,fedtypo,fedtypo_noreg,auprc,49,0.0025040651169333404
drift,fedtypo,fedtypo_noreg,auprc,50,0.0019617007242767603
drift,fedtypo,fedtypo_noreg,auprc,51,0.00151833066663424
drift,fedtypo,cda_fedavg,auprc,42,0.0022143904014068003
drift,fedtypo,cda_fedavg,auprc,43,0.00228622655749688
drift,fedtypo,cda_fedavg,auprc,44,0.0017273751919368997
drift,fedtypo,cda_fedavg,auprc,45,0.0037594162765448398
drift,fedtypo,cda_fedavg,auprc,46,0.0016443279018446802
drift,fedtypo,cda_fedavg,auprc,47,0.00336025309779604
drift,fedtypo,cda_fedavg,auprc,48,0.0031383469678232597
drift,fedtypo,cda_fedavg,auprc,49,0.0025059920166423002
drift,fedtypo,cda_fedavg,auprc,50,0.0019662691389177407
drift,fedtypo,cda_fedavg,auprc,51,0.0015159747730519601
