typ,positives,captured,capture_rate,mean_score
0,932,114,0.1223175965665236,0.38765565
1,1334,140,0.10494752623688156,0.36997896
2,345,12,0.034782608695652174,0.38655302
3,1870,6,0.0032085561497326204,0.3662596
4,394,21,0.0532994923857868,0.39754397
5,656,1,0.001524390243902439,0.36006877
6,529,3,0.005671077504725898,0.38209516
7,338,0,0.0,0.3473321
8,382,0,0.0,0.3490895
9,364,1,0.0027472527472527475,0.3877889
10,506,1,0.001976284584980237,0.37566754
11,54,0,0.0,0.34484637
12,945,35,0.037037037037037035,0.3884396
13,250,2,0.008,0.3691299
14,383,5,0.013054830287206266,0.35767123
15,354,0,0.0,0.37823033
16,237,4,0.016877637130801686,0.38926786
