typ,positives,captured,capture_rate,mean_score
0,932,111,0.11909871244635194,0.3997097
1,1334,123,0.09220389805097451,0.38054937
2,345,16,0.0463768115942029,0.3981333
3,1870,6,0.0032085561497326204,0.37993988
4,394,21,0.0532994923857868,0.40429118
5,656,1,0.001524390243902439,0.3711633
6,529,5,0.00945179584120983,0.40206894
7,338,0,0.0,0.3549409
8,382,0,0.0,0.36014912
9,364,1,0.0027472527472527475,0.400496
10,506,3,0.005928853754940711,0.4001359
11,54,0,0.0,0.3516746
12,945,39,0.04126984126984127,0.4033993
13,250,1,0.004,0.37834597
14,383,4,0.010443864229765013,0.36127833
15,354,1,0.002824858757062147,0.40190446
16,237,13,0.05485232067510549,0.4153774
