typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.35954663
1,1334,0,0.0,0.3282827
2,345,14,0.04057971014492753,0.37488294
3,1870,0,0.0,0.36102048
4,394,20,0.050761421319796954,0.38768536
5,656,0,0.0,0.3517663
6,529,0,0.0,0.3701606
7,338,0,0.0,0.342547
8,382,1,0.002617801047120419,0.34453526
9,364,0,0.0,0.36904576
10,506,1,0.001976284584980237,0.37218377
11,54,0,0.0,0.31588116
12,945,0,0.0,0.3727711
13,250,0,0.0,0.34306622
14,383,0,0.0,0.35182288
15,354,0,0.0,0.36815858
16,237,0,0.0,0.38253856
