client,typology,onset,stagger,horizon_windows,positives,captured,capture_rate
3,1,9,1.0,1,18,0,0.0
3,1,9,1.0,3,39,0,0.0
3,1,9,1.0,-1,134,0,0.0
0,1,12,2.0,1,6,0,0.0
0,1,12,2.0,3,12,0,0.0
0,1,12,2.0,-1,35,0,0.0
