window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0005245849189022774,1.041036078394591,0.0,5,5,393,754434,0.0005209203190736367
2,0.003469665198114977,2.253607152188196,0.008,5,5,362,207353,0.0017458151075701823
3,0.004217005584509193,2.3703092284337552,0.004,5,5,381,207404,0.0018369944649090663
4,0.001596711756832744,1.7871986723089226,0.0,5,5,445,482624,0.0009220428325155815
5,0.009154070861897094,8.117024525397529,0.032,5,5,539,482097,0.0011180322632167385
6,0.009070394346549712,8.805629370535048,0.02,5,5,498,482752,0.001031585576030757
7,0.012992094836516302,11.062132856467624,0.012,5,5,568,482802,0.001176465714723634
8,0.00458811730258819,5.404815878433366,0.016,5,5,558,654511,0.000852544877015054
9,0.01741507303743055,7.669385490298822,0.008,5,5,469,208352,0.0022509983105513747
