client,0,1,2,3,4,5,6,7,8
0,35,41,57,60,37,25,40,86,542
1,51,51,76,99,29,20,44,68,602
2,46,43,88,107,53,36,43,87,331
3,51,46,69,74,48,27,38,76,344
4,77,48,131,104,40,29,51,80,392
