client,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,199,291,42,341,122,146,127,78,52,53,121,11,192,64,92,70,48
1,118,261,70,395,65,129,79,80,77,89,106,12,230,60,57,75,48
2,167,166,78,407,76,121,106,56,85,83,96,8,203,26,80,108,35
3,261,249,81,387,65,132,118,50,87,71,90,9,172,60,89,49,89
4,187,367,74,340,66,128,99,74,81,68,93,14,148,40,65,52,17
