client,typology,onset,stagger,horizon_windows,positives,captured,capture_rate
4,2,5,1.0,1,31,0,0.0
4,2,5,1.0,3,77,1,0.012987012987012988
4,2,5,1.0,-1,118,1,0.00847457627118644
2,2,7,2.0,1,28,1,0.03571428571428571
2,2,7,2.0,3,90,4,0.044444444444444446
2,2,7,2.0,-1,90,4,0.044444444444444446
