window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0023537487618104083,4.046154406018479,0.004,5,5,399,754440,0.0005288690949578495
2,0.007875212051744879,4.314856419503221,0.0,5,5,365,207356,0.001760257721020853
3,0.009963188398040283,5.221475966302703,0.012,5,5,388,207411,0.0018706818828316725
4,0.0039668604658094275,4.550399923847023,0.012,5,5,431,482610,0.0008930606493856323
5,0.009139806427245352,8.75195060502075,0.016,5,5,533,482091,0.0011056003949461823
6,0.010172186047193036,9.970961560537111,0.008,5,5,498,482752,0.001031585576030757
7,0.014798109421717751,12.266593653834283,0.008,5,5,572,482806,0.001184740869003285
8,0.0052526559179410254,6.469765925174132,0.008,5,5,547,654500,0.0008357524828113064
9,0.01928628315077376,8.377232903266954,0.016,5,5,480,208363,0.002303671957113307
