typ,positives,captured,capture_rate,mean_score
0,260,1,0.0038461538461538464,0.3457777
1,229,0,0.0,0.32523188
2,421,0,0.0,0.31413773
3,444,0,0.0,0.31270102
4,207,1,0.004830917874396135,0.34085938
5,137,1,0.0072992700729927005,0.32984746
6,216,0,0.0,0.3670986
7,397,3,0.007556675062972292,0.33174768
8,2211,20,0.009045680687471733,0.36807925
