typ,positives,captured,capture_rate,mean_score
0,260,1,0.0038461538461538464,0.34685582
1,229,0,0.0,0.32507583
2,421,0,0.0,0.31328863
3,444,0,0.0,0.31252602
4,207,1,0.004830917874396135,0.34106332
5,137,1,0.0072992700729927005,0.32930487
6,216,0,0.0,0.3682488
7,397,3,0.007556675062972292,0.33378056
8,2211,17,0.007688828584350972,0.36789903
