typ,positives,captured,capture_rate,mean_score
0,932,3,0.003218884120171674,0.38101748
1,1334,0,0.0,0.36840817
2,345,3,0.008695652173913044,0.39799127
3,1870,0,0.0,0.3695616
4,394,4,0.01015228426395939,0.39502108
5,656,0,0.0,0.35859156
6,529,0,0.0,0.38753405
7,338,0,0.0,0.3512546
8,382,0,0.0,0.35353157
9,364,1,0.0027472527472527475,0.37886906
10,506,0,0.0,0.38316795
11,54,1,0.018518518518518517,0.3460549
12,945,2,0.0021164021164021165,0.38782752
13,250,0,0.0,0.3595946
14,383,0,0.0,0.3571922
15,354,0,0.0,0.38481653
16,237,0,0.0,0.39018303
