typ,positives,captured,capture_rate,mean_score
0,932,3,0.003218884120171674,0.38475364
1,1334,0,0.0,0.37161562
2,345,3,0.008695652173913044,0.40173677
3,1870,0,0.0,0.37397432
4,394,4,0.01015228426395939,0.3972192
5,656,0,0.0,0.3623985
6,529,0,0.0,0.394201
7,338,1,0.0029585798816568047,0.3538811
8,382,0,0.0,0.3572442
9,364,1,0.0027472527472527475,0.3832294
10,506,0,0.0,0.3914141
11,54,1,0.018518518518518517,0.34862176
12,945,2,0.0021164021164021165,0.39260525
13,250,0,0.0,0.36301395
14,383,0,0.0,0.3584527
15,354,0,0.0,0.39291933
16,237,0,0.0,0.39899233
