window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.000978349619086878,1.6590886326527605,0.0,5,5,396,754437,0.0005248947228197981
2,0.006409379584488341,3.6350965126996497,0.004,5,5,363,207354,0.0017506293584883823
3,0.009099820819287768,5.063326469011791,0.008,5,5,383,207406,0.0018466196734906416
4,0.004530319172241247,5.336326735180648,0.012,5,5,434,482613,0.0008992712587518364
5,0.010851652940846435,9.792306317902462,0.024,5,5,536,482094,0.0011118163677623035
6,0.008429823662481423,8.137675956192194,0.012,5,5,503,482757,0.0010419320693433756
7,0.013206824631903615,11.248269076308654,0.016,5,5,573,482807,0.001186809636148606
8,0.003030431855683941,3.9526712507088355,0.004,5,5,549,654502,0.0008388056873775787
9,0.017631386696149103,7.848426908555135,0.016,5,5,475,208358,0.002279730079958533
