typ,positives,captured,capture_rate,mean_score
0,932,2,0.002145922746781116,0.374208
1,1334,63,0.0472263868065967,0.3604277
2,345,10,0.028985507246376812,0.4006091
3,1870,4,0.0021390374331550803,0.34827274
4,394,4,0.01015228426395939,0.385759
5,656,1,0.001524390243902439,0.35174012
6,529,4,0.007561436672967864,0.39307046
7,338,0,0.0,0.34211117
8,382,0,0.0,0.34377164
9,364,4,0.01098901098901099,0.3874085
10,506,2,0.003952569169960474,0.38580573
11,54,3,0.05555555555555555,0.30373386
12,945,15,0.015873015873015872,0.38196608
13,250,4,0.016,0.3533231
14,383,4,0.010443864229765013,0.3757317
15,354,3,0.00847457627118644,0.3776908
16,237,2,0.008438818565400843,0.3967669
