client,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,232,120,79,362,102,126,108,64,87,72,129,11,229,40,77,56,25
1,154,323,61,385,61,119,131,69,83,75,107,8,154,31,88,69,92
2,187,367,62,394,92,148,79,67,75,83,84,7,163,47,71,105,41
3,154,210,88,341,76,117,93,62,76,61,100,15,202,57,51,61,19
4,205,314,55,388,63,146,118,76,61,73,86,13,197,75,96,63,60
