window,client,budget,precision,recall
7,3,10,0.4,0.023668639053254437
7,3,25,0.44,0.0650887573964497
7,3,50,0.3,0.08875739644970414
7,3,100,0.23,0.13609467455621302
7,3,200,0.145,0.17159763313609466
7,4,10,0.4,0.025974025974025976
7,4,25,0.28,0.045454545454545456
7,4,50,0.2,0.06493506493506493
7,4,100,0.12,0.07792207792207792
7,4,200,0.1,0.12987012987012986
8,0,10,0.0,0.0
8,0,25,0.0,0.0
8,0,50,0.0,0.0
8,0,100,0.0,0.0
8,0,200,0.005,0.013513513513513514
8,1,10,0.0,0.0
8,1,25,0.0,0.0
8,1,50,0.02,0.014492753623188406
8,1,100,0.02,0.028985507246376812
8,1,200,0.01,0.028985507246376812
8,2,10,0.1,0.018518518518518517
8,2,25,0.04,0.018518518518518517
8,2,50,0.04,0.037037037037037035
8,2,100,0.03,0.05555555555555555
8,2,200,0.015,0.05555555555555555
8,3,10,0.7,0.04516129032258064
8,3,25,0.6,0.0967741935483871
8,3,50,0.44,0.14193548387096774
8,3,100,0.29,0.1870967741935484
8,3,200,0.205,0.2645161290322581
8,4,10,0.1,0.006172839506172839
8,4,25,0.08,0.012345679012345678
8,4,50,0.2,0.06172839506172839
8,4,100,0.13,0.08024691358024691
8,4,200,0.085,0.10493827160493827
9,0,10,0.0,0.0
9,0,25,0.0,0.0
9,0,50,0.0,0.0
9,0,100,0.01,0.014705882352941176
9,0,200,0.005,0.014705882352941176
9,1,10,0.2,0.02531645569620253
9,1,25,0.12,0.0379746835443038
9,1,50,0.06,0.0379746835443038
9,1,100,0.05,0.06329113924050633
9,1,200,0.025,0.06329113924050633
9,2,10,0.1,0.023809523809523808
9,2,25,0.08,0.047619047619047616
9,2,50,0.04,0.047619047619047616
9,2,100,0.05,0.11904761904761904
9,2,200,0.025,0.11904761904761904
9,3,10,0.3,0.021739130434782608
9,3,25,0.2,0.036231884057971016
9,3,50,0.18,0.06521739130434782
9,3,100,0.15,0.10869565217391304
9,3,200,0.14,0.2028985507246377
9,4,10,0.4,0.034782608695652174
9,4,25,0.32,0.06956521739130435
9,4,50,0.22,0.09565217391304348
9,4,100,0.14,0.12173913043478261
9,4,200,0.1,0.17391304347826086
