window,transactions,positives,prevalence,positive_clients
0,1114921,322,0.0002888097004182359,5
1,754449,408,0.0005407920217271148,5
2,207382,391,0.0018854095340964981,5
3,207430,407,0.0019621076989827894,5
4,482650,471,0.0009758624261887496,5
5,482089,531,0.0011014563700893403,5
6,482751,497,0.001029516251649401,5
7,482773,539,0.0011164667452405169,5
8,654467,514,0.0007853719133279447,5
9,208325,442,0.002121684867394696,5
