client,auprc,ap_lift,positives,transactions,prevalence
0,0.0015131962773148727,1.375486121261791,814,739921,0.0011001174449704765
1,0.0012888175902933245,1.2532497638884332,874,849880,0.0010283804772438462
2,0.0011822123202905172,1.0637327078368246,970,872788,0.0011113809997387683
3,0.0012683013123576635,1.2399790831764632,801,783113,0.001022840892693647
4,0.001317941567150844,1.2745686615414777,741,716614,0.0010340294775150918
