typ,positives,captured,capture_rate,mean_score
0,260,0,0.0,0.35401872
1,229,1,0.004366812227074236,0.3303798
2,421,0,0.0,0.32720044
3,444,0,0.0,0.3250205
4,207,3,0.014492753623188406,0.34269214
5,137,0,0.0,0.33042425
6,216,1,0.004629629629629629,0.37492466
7,397,3,0.007556675062972292,0.3378478
8,2211,19,0.008593396653098146,0.37000236
