typ,positives,captured,capture_rate,mean_score
0,932,3,0.003218884120171674,0.36976025
1,1334,0,0.0,0.31509224
2,345,15,0.043478260869565216,0.39402047
3,1870,0,0.0,0.35374567
4,394,20,0.050761421319796954,0.39404878
5,656,1,0.001524390243902439,0.35045138
6,529,0,0.0,0.3714767
7,338,1,0.0029585798816568047,0.34540284
8,382,0,0.0,0.34731373
9,364,1,0.0027472527472527475,0.37059617
10,506,0,0.0,0.36793473
11,54,4,0.07407407407407407,0.35396218
12,945,2,0.0021164021164021165,0.37823802
13,250,3,0.012,0.35862476
14,383,0,0.0,0.35362792
15,354,0,0.0,0.36874354
16,237,0,0.0,0.37376374
