typ,positives,captured,capture_rate,mean_score
0,260,0,0.0,0.35535535
1,229,0,0.0,0.33304662
2,421,0,0.0,0.33255646
3,444,0,0.0,0.32686743
4,207,4,0.01932367149758454,0.34394193
5,137,0,0.0,0.34000066
6,216,1,0.004629629629629629,0.37513864
7,397,3,0.007556675062972292,0.34049353
8,2211,32,0.014473089099954772,0.37274083
