typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.34082428
1,1334,0,0.0,0.35334703
2,345,29,0.08405797101449275,0.38470715
3,1870,2,0.0010695187165775401,0.36264998
4,394,18,0.04568527918781726,0.38842782
5,656,0,0.0,0.3542448
6,529,0,0.0,0.3770279
7,338,0,0.0,0.3488775
8,382,0,0.0,0.34803316
9,364,1,0.0027472527472527475,0.37129158
10,506,0,0.0,0.36971435
11,54,3,0.05555555555555555,0.3185449
12,945,0,0.0,0.36538744
13,250,2,0.008,0.34856418
14,383,2,0.005221932114882507,0.35366854
15,354,0,0.0,0.36631685
16,237,0,0.0,0.36982253
