typ,positives,captured,capture_rate,mean_score
0,260,0,0.0,0.34700188
1,229,0,0.0,0.3275495
2,421,1,0.0023752969121140144,0.32431066
3,444,0,0.0,0.32069886
4,207,1,0.004830917874396135,0.34241137
5,137,0,0.0,0.3299923
6,216,1,0.004629629629629629,0.36694294
7,397,3,0.007556675062972292,0.32929307
8,2211,16,0.007236544549977386,0.36547616
