window,transactions,positives,prevalence,positive_clients
0,488293,468,0.0009584409360773143,5
1,500384,308,0.0006155272750527595,5
2,507493,429,0.0008453318567940839,5
3,491231,454,0.0009242087734691011,5
4,499630,414,0.000828613173748574,5
5,497293,454,0.0009129426716241733,5
6,505925,387,0.0007649355141572368,5
7,547144,602,0.0011002587984150424,5
8,526681,490,0.0009303544270630609,5
9,495363,592,0.0011950832016117473,5
10,505171,462,0.0009145418086153005,5
11,515290,637,0.0012361970928991442,5
12,498176,593,0.0011903423689619732,5
13,506047,461,0.0009109825767171824,5
14,500438,711,0.0014207554182536098,5
15,514289,559,0.001086937500121527,5
16,500666,673,0.001344209512928779,5
17,491881,514,0.001044968193526483,5
18,413457,665,0.00160838974790607,5
